location_id,location_name,country_name,provider_name,owner_name,is_mobile,is_monitor,instrument_name
5558,"Alandur Bus Depot, Chennai - CPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5559,"Collectorate, Gaya - BSPCB",India,CPCB,Bihar State Pollution Control Board,False,True,Government Monitor
5565,"MIDC Khutala, Chandrapur - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
5566,"Talcher Coalfields,Talcher - OSPCB",India,CPCB,Odisha State Pollution Control Board,False,True,Government Monitor
5569,"Punjab Agricultural University, Ludhiana - PPCB",India,CPCB,Punjab Pollution Control Board,False,True,Government Monitor
5570,"Aya Nagar, New Delhi - IMD",India,CPCB,India Meteorological Department,False,True,Government Monitor
5574,"City Railway Station, Bengaluru - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
5576,"Moti Doongri, Alwar - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5581,"Pusa, New Delhi - IMD",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5585,"Ashok Nagar, Udaipur - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5586,"Sirifort, Delhi - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
5587,"Collectorate, Jodhpur - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5588,"RIICO Ind. Area III, Bhiwadi - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5590,"Ardhali Bazar, Varanasi - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
5592,"Gangapur Road, Nashik - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
5593,"Pimpleshwar Mandir, Thane - MPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5594,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",India,CPCB,Bihar State Pollution Control Board,False,True,Government Monitor
5596,"Secretariat, Amaravati - APPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5598,"Sector - 125, Noida, UP - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
5599,"Bollaram Industrial Area, Hyderabad - TSPCB",India,CPCB,Telangana State Pollution Control Board,False,True,Government Monitor
5601,"Lajpat Nagar, Moradabad - UPPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5602,"Asansol Court Area, Asansol - WBPCB",India,CPCB,West Bengal Pollution Control Board,False,True,Government Monitor
5603,"Sector-2 Industrial Area, Pithampur - MPPCB",India,CPCB,Madhya Pradesh Pollution Control Board,False,True,Government Monitor
5604,"Nishant Ganj, Lucknow - UPPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5607,"Peenya, Bengaluru - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
5608,"GM Office, Brajrajnagar - OSPCB",India,CPCB,Odisha State Pollution Control Board,False,True,Government Monitor
5609,"Anam Kala Kendram, Rajamahendravaram - APPCB",India,CPCB,Andhra Pradesh Pollution Control Board,False,True,Government Monitor
5610,"North Campus, DU, Delhi - IMD",India,CPCB,India Meteorological Department,False,True,Government Monitor
5611,"Chandrapur, Chandrapur - MPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5612,"Shastri Nagar, Jaipur - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5613,"ITO, New Delhi - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
5614,"Padmapukur, Howrah - WBPCB",India,CPCB,West Bengal Pollution Control Board,False,True,Government Monitor
5615,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",India,CPCB,West Bengal Pollution Control Board,False,True,Government Monitor
5616,"Sector - 62, Noida, UP - IMD",India,CPCB,India Meteorological Department,False,True,Government Monitor
5617,"Sector- 16A, Faridabad - HSPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
