ID,Location
3409427,"Radhakishan Pura, Sikar - RSPCB"
3409428,"Satyawati Vihar, Karauli - RSPCB"
3409429,"Rajlaxmi Nagar, Jhalawar - RSPCB"
3409430,"Mansarovar Sector-12, Jaipur - RSPCB"
3409431,"Digari Kalan, Jodhpur - RSPCB"
3409432,"Sector-2 Murlipura, Jaipur - RSPCB"
3409433,"RIICO Sitapura, Jaipur - RSPCB"
3409434,"Jigani, Bengaluru - KSPCB"
3409435,"Gavalinagar, Pimpri Chinchwad - MPCB"
3409436,"Park Street Wakad, Pimpri Chinchwad - MPCB"
3409437,"Thergaon, Pimpri Chinchwad - MPCB"
3409438,"Katraj Dairy, Pune - MPCB"
3409439,"Savitribai Phule Pune University, Pune - MPCB"
3409440,"Shivaji University, Kolhapur - MPCB"
3409441,"Sinchan Bhavan, Kolhapur - MPCB"
3409442,"Pratap Nagar, Bhilwara - RSPCB"
3409443,"New Colony, Bundi - RSPCB"
3409444,"Sadar Bazar, Jaisalmer - RSPCB"
3409445,"Mandor, Jodhpur - RSPCB"
3409446,"Vijay Nagar, Sangli - MPCB"
3409447,"Bamboliya, Baran - RSPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB"
3409449,"Dnyaneshwar Nagar, Solapur - MPCB"
3409450,"Karni Colony, Nagaur - RSPCB"
3409451,"Pandav Nagari, Nashik - MPCB"
3409452,"Sawe Wadi, Latur - MPCB"
3409453,"MIDC Ambad, Nashik - MPCB"
3409454,"Hirawadi, Nashik - MPCB"
3409455,"Kamble Tarf Birwadi, Mahad - MPCB"
3409456,"Ramdaspeth, Akola - MPCB"
3409457,"Tarakpur, Ahmednagar - MPCB"
3409458,"Shivneri Colony, Amravati - MPCB"
3409459,"Shri Shivaji Science College, Amaravati - MPCB"
3409460,"MIDC Chilkalthana, Aurangabad - MPCB"
3409461,"Rachnakar Colony, Aurangabad - MPCB"
3409462,"Prabhat Colony, Jalgaon - MPCB"
3409463,"Old MIDC, Jalna - MPCB"
3409464,"Ambazari, Nagpur - MPCB"
3409465,"Ram Nagar, Nagpur - MPCB"
3409466,"Masoom Colony, Parbhani - MPCB"
3409467,"Sneh Nagar, Nanded - MPCB"
3409468,"Mahal, Nagpur - MPCB"
3409469,"Kasarvadavali, Thane - MPCB"
3409470,"Katrap, Badlapur - MPCB"
3409471,"Sector-2E Kalamboli, Navi Mumbai - MPCB"
3409472,"Upvan Fort, Thane - MPCB"
3409473,"Deopur, Dhule - MPCB"
3409474,"Mahesh Nagar, Malegaon - MPCB"
3409475,"Tondare-Taloja, Navi Mumbai - MPCB"
3409476,"CBD Belapur, Belapur - MPCB"
3409477,"Kopripada-Vashi, Navi Mumbai - MPCB"
3409478,"Bhayandar West, Mira-Bhayandar - MPCB"
3409479,"Mindspace-Malad West, Mumbai - MPCB"
3409480,"Bolinj, Virar - MPCB"
3409481,"Khaira, Boisar - MPCB"
3409482,"Bandra Kurla Complex, Mumbai - MPCB"
3409483,"Chembur, Mumbai - MPCB"
3409484,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB"
3409485,"Gokul Nagar, Bhiwandi - MPCB"
3409486,"Kherwadi_Bandra East, Mumbai - MPCB"
3409487,"Sanpada, Navi Mumbai - MPCB"
3409488,"Suhagi, Jabalpur - JMC"
3409489,"Gupteshwar, Jabalpur - JMC"
3409492,"HB Colony, Vijayawada - APPCB"
3409493,"Rajiv Gandhi Park, Vijayawada - APPCB"
3409494,"Bhoiwada, Dungarpur - RSPCB"
3409495,"Mudtra Sili, Jalore - RSPCB"
3409497,"KHB Colony, Karwar - KSPCB"
3409498,"Residency Area, Indore - IMC"
3409499,"Regional Park, Indore - MPPCB"
3409500,"Maguda Nagar, Indore - IMC"
3409501,"Airport Area, Indore - IMC"
3409502,"Kalidaspur, Balasore - OSPCB"
3409503,"Forest Office, Barbil - OSPCB"
3409504,"Hakimapada, Angul - OSPCB"
3409505,"Lingraj Mandir, Bhubaneswar - OSPCB"
3409506,"CDA Area, Cuttack - OSPCB"
3409507,"Ferro Chrome Colony, Byasanagar - OSPCB"
3409508,"Patia, Bhubaneswar - OSPCB"
3409509,"SVSPA Campus, Barrackpore - WBPCB"
3409510,"Byculla, Mumbai - BMC"
3409511,"Shivaji Nagar, Mumbai - BMC"
3409512,"Kandivali West, Mumbai - BMC"
3409513,"Sewri, Mumbai - BMC"
3409514,"Ghatkopar, Mumbai - BMC"
3409515,"Govindh Bhavan Colony, Jabalpur - MPPCB"
3409516,"SIPCOT Nathampannai, Pudukottai - TNPCB"
3409517,"Collectorate Office, Virudhunagar - TNPCB"
3409518,"Rajiv Nagar, Vijayawada - APPCB"
3409519,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB"
3409520,"PCBL Residential Complex, Durgapur - WBPCB"
3409521,"Evelyn Lodge, Asansol - WBPCB"
3409522,"Mahabir Colliery, Asansol - WBPCB"
3409523,"Bhumkar Nagar, Pune - IITM"
3409524,"Botanical Garden, Howrah - WBPCB"
3409525,"Trivenidevi Bhalotia College, Asansol - WBPCB"
3409526,"Panchawati_Pashan, Pune - IITM"
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB"
3409528,"Savta Mali Nagar, Pimpri-Chinchwad - IITM"
3409529,"Mahishkapur Road_B-Zone, Durgapur - WBPCB"
3409530,"Dasnagar, Howrah - WBPCB"
