ID,Location
5753,"Vivek Vihar, Delhi - DPCC"
5754,"Jawaharlal Nehru Stadium, Delhi - DPCC"
5755,"Major Dhyan Chand National Stadium, Delhi - DPCC"
5759,"Sonia Vihar, Delhi - DPCC"
5760,"Dwarka-Sector 8, Delhi - DPCC "
5761,"Jahangirpuri, Delhi - DPCC"
5762,"Ashok Vihar, Delhi - DPCC"
5763,"Narela, Delhi - DPCC"
5765,"Okhla Phase-2, Delhi - DPCC"
5766,"Nehru Nagar, Delhi - DPCC"
6310,"Rabindra Bharati University, Kolkata - WBPCB"
6314,"NISE Gwal Pahari, Gurugram - IMD"
6356,"Pusa, Delhi - DPCC"
6357,"Punjabi Bagh, Delhi - DPCC"
6358,"Mandir Marg, New Delhi - DPCC"
6359,"IHBAS, Dilshad Garden,New Delhi - CPCB"
6442,"Ratanpura, Rupnagar - Ambuja Cements"
6443,"Bandhavgar Colony, Satna - Birla Cement"
6920,"Manali Village, Chennai - TNPCB"
6923,"New Mandi, Muzaffarnagar - UPPCB"
6924,"Indirapuram, Ghaziabad - UPPCB"
6927,"Colaba, Mumbai - MPCB"
6928,"Vasai West, Mumbai - MPCB"
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC"
6930,"Gobind Pura, Yamuna Nagar - HSPCB"
6931,"Dwarka-Sector 8, Delhi - DPCC "
6932,"Alipur, Delhi - DPCC"
6933,"Shasthri Nagar, Ratlam - IPCA Lab"
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
6935,"Urban Estate-II, Hisar - HSPCB"
6936,"Arya Nagar, Bahadurgarh - HSPCB"
6937,"Sector-10, Gandhinagar - GPCB"
6938,"Vivek Vihar, Delhi - DPCC"
6939,"Hardev Nagar, Bathinda - PPCB"
6940,"Kalal Majra, Khanna - PPCB"
6941,"Railway Colony, Guwahati - APCB"
6942,"Phase-4 GIDC, Vatva - GPCB"
6943,"Mahape, Navi Mumbai - MPCB"
6944,"H.B. Colony, Bhiwani - HSPCB"
6945,"Kurla, Mumbai - MPCB"
6946,"Belur Math, Howrah - WBPCB"
6947,"General Hospital, Mandikhera - HSPCB"
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
6949,"Municipal Corporation Office, Dharuhera -  HSPCB"
6950,"Jadavpur, Kolkata - WBPCB"
6951,"Murthal, Sonipat - HSPCB"
6952,"F-Block, Sirsa - HSPCB"
6953,"Sector-2 IMT, Manesar - HSPCB"
6954,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
6955,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
6956,"Powai, Mumbai - MPCB"
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC"
6958,"Sector-18, Panipat - HSPCB"
6959,"Siddharth Nagar-Worli, Mumbai - IITM"
6960,"Patparganj, Delhi - DPCC"
6961,"Shrivastav Colony, Damoh - MPPCB"
6962,"GIDC, Ankleshwar - GPCB"
6963,"Police Lines, Jind - HSPCB"
6964,"Patti Mehar, Ambala - HSPCB"
6965,"Borivali East, Mumbai - MPCB"
6966,"Udyogamandal, Eloor - Kerala PCB"
